reportDate,cpc
2019-07-20,0.392338072669826
2019-07-21,0.396529144442021
2019-07-22,0.40309119530999
2019-07-23,0.426196796130192
2019-07-24,0.412257718191229
2019-07-25,0.429522769325658
2019-07-26,0.414629708558496
2019-07-27,0.436399303408835
2019-07-28,0.448546779427658
2019-07-29,0.432334782778472
2019-07-30,0.433407033755791
2019-07-31,0.434463953841895
2019-08-01,0.428849030443191
2019-08-02,0.429597907992954
2019-08-03,0.443991779594264
2019-08-04,0.427433545227528
2019-08-05,0.419194912848258
2019-08-06,0.433934131012441
2019-08-07,0.403191107923987
2019-08-08,0.403554062272645
2019-08-09,0.440179321775398
2019-08-10,0.441643097115763
2019-08-11,0.452984985501097
2019-08-12,0.452181111885027
2019-08-13,0.458004060338755
2019-08-14,0.485417290293453
